,SIGLAS,DEPENDENCIA,CLAVEUC,NOMBRE_DE_LA_UC,RESPONSABLE,NUMERO_EXPEDIENTE,TITULO_EXPEDIENTE,PLANTILLA_EXPEDIENTE,NUMERO_PROCEDIMIENTO,EXP_F_FALLO,PROC_F_PUBLICACION,FECHA_APERTURA_PROPOSICIONES,CARACTER,TIPO_CONTRATACION,TIPO_PROCEDIMIENTO,FORMA_PROCEDIMIENTO,CODIGO_CONTRATO,TITULO_CONTRATO,FECHA_INICIO,FECHA_FIN,IMPORTE_CONTRATO,MONEDA,ESTATUS_CONTRATO,ARCHIVADO,RAMO,CLAVE_PROGRAMA,APORTACION_FEDERAL,FECHA_CELEBRACION,CONTRATO_MARCO,COMPRA_CONSOLIDADA,PLURIANUAL,CLAVE_CARTERA_SHCP,ESTRATIFICACION_MUC,PROVEEDOR_CONTRATISTA,ESTRATIFICACION_MPC,ESTATUS_EMPRESA,CUENTA_ADMINISTRADA_POR,ANUNCIO
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,792607,SUMINISTRO Y COLOCACION DE PASTO  NATURAL SAN AGUSTIN EN VIALIDAD INTERIOR DEL R,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N8-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,715634,SUMINISTRO Y COLOCACION DE PASTO  NATURAL SAN AGUSTIN EN VIALIDAD INTERIOR DEL RECINTO PORTUARIO DE ENSENADA,2015-03-18,2015-03-20,65973.6,MXN,Expirado,,,,,,0,0,0,,Micro,ROMMEL ABRAHAM RAMOS PEREZ,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537609
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,802620,MANTENIMIENTO PREVENTIVO ANUAL 2015 AL SISTEMA DE REFRIGERACION,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N9-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,724335,"MANTENIMIENTO PREVENTIVO ANUAL 2015 AL SISTEMA DE REFRIGERACION - EQUIPOS DE AIRE ACONDICIONADO - DEL EDIFICIO ADMINISTRATIVO APIENS, OFICINAS CCTM, SAUZAL Y SEGURIDAD.",2015-03-16,2015-12-19,74700,MXN,Activo,No,,,,,0,0,0,,Micro,KENNEDY REFRIGERACION SA DE CV,Micro,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,774508,OBRA CIVIL PARA INSTALACIÓN DE FUENTE INTERACTIVA MONUMENTAL,19. Invitación a cuando menos tres Nacional LOPSRM,IO-009J2R001-N3-2015,2015-03-12 00:00:00 GMT,2015-03-04 20:47,2015-03-10 10:00,Nacional,Obra Pública,Invitación a Cuando Menos 3 Personas,Mixta,715419,"OBRA CIVIL PARA INSTALACIÓN DE FUENTE INTERACTIVA EN EL MALECÓN TURÍSTICO DEL PUERTO DE ENSENADA, B.C.",2015-03-13,2015-05-24,2992712.1,MXN,Activo,No,,,,2015-03-12 00:00:00 GMT,0,0,0,,Micro,CONSTRUCCION Y CONSERVACION DE OBRA CIVIL SA DE CV,Mediana,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=524201
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,792509,SUMINISTRO Y COLOCACION DE MALLA CICLONICA Y PUERTAS PEATONALES EN EL SAUZAL,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N5-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,715544,"SUMINISTRO Y COLOCACION DE MALLA CICLONICA Y PUERTAS PEATONALES EN EL PUERTO DE EL SAUZAL, B.C.",2015-02-25,2015-03-03,29400.07,MXN,Expirado,No,,,,2015-02-25 00:00:00 GMT,0,0,0,,Micro,PATRICIA GABRIELA GARCIA PULIDO,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537533
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,792441,ELABORACION DE ESTUDIO COSTO - BENEFICIO (FICHA TECNICA) CALLE DE LA MARINA,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N4-2015,,,,Nacional,Servicios Relacionados con la OP,Adjudicación Directa Federal,,715494,"ELABORACION DE ESTUDIO COSTO - BENEFICIO (FICHA TECNICA) PARA EL PROYECTO DE PROLONGACION DE CALLE DE LA MARINA, EN EL PUERTO DE ENSENADA,  B.C.",2015-01-20,2015-07-01,35000,MXN,Activo,No,,,,2015-01-16 00:00:00 GMT,0,0,0,,Micro,INCOSTAS SA DE CV,Mediana,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,792530,TRABAJOS DE MANTENIMIENTO Y REHABILITACION AL CARCAMO DE BOMBEO DEL PUERTO DE EN,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N6-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,715586,"TRABAJOS DE MANTENIMIENTO Y REHABILITACION AL CARCAMO DE BOMBEO DEL PUERTO DE ENSENADA, B.C.",2015-01-15,2015-01-30,38918.21,MXN,Expirado,,,,,,0,0,0,,Micro,ROMMEL ABRAHAM RAMOS PEREZ,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537565
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,765338,HABILITADO  DE LOSA DE CONCRETO ARMADO PARA PLANTA DE TRATAMIENTO DE AGUAS RESID,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N1-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,692809,"HABILITADO  DE LOSA DE CONCRETO ARMADO PARA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL PUERTO DE ENSENADA, B.C.",2015-01-15,2015-01-30,123862.18,MXN,Expirado,,,,,,0,0,0,,Micro,ROMMEL ABRAHAM RAMOS PEREZ,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=517197
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,792582,RETIRO E INSTALACIÓN DE ALIMENTADOR ELÉCTRICO PARA CIRCUITO DE ALUMBRADO,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N7-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,715609,RETIRO E INSTALACIÓN DE ALIMENTADOR ELÉCTRICO PARA CIRCUITO DE ALUMBRADO Y CABLE TELEFÓNICO PARA CASETA CUMAR. ,2015-01-13,2015-01-16,94911.06,MXN,Terminado,,,,,,0,0,0,,Micro,INGENIERIA Y SERVICIOS ELECTROMECANICOS J & M SA,Mediana,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537588
APF,API-Lázaro Cárdenas,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",009J3A002,"API-Lázaro Cárdenas-Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V. 2",JUAN ARIEL GAXIOLA VILLA,761516,"CONSTRUCCIÓN DE PROTECCIÓN MARGINAL Y PLAYERA EN EL PUERTO DE LÁZARO CÁRDENAS, M",16. Licitación Pública Nacional LOPSRM,LO-009J3A002-N3-2015,2015-03-12 00:00:00 GMT,2015-02-11 18:52,2015-03-06 10:00,Nacional,Obra Pública,Licitación Pública,Mixta,714224,CONSTRUCCIÓN DE PROTECCIÓN MARGINAL Y PLAYERA EN EL PUERTO DE LÁZARO CÁRDENAS,2015-03-30,2015-12-07,8453719.26,MXN,Activo,No,,,,2015-03-25 00:00:00 GMT,0,0,0,0309J3A0002,No MIPYME,"CONSTRUCTORA Y ARRENDADORA DE LA COSTA DE MICHOACAN, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=514319
APF,API-Lázaro Cárdenas,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",009J3A002,"API-Lázaro Cárdenas-Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V. 2",JUAN ARIEL GAXIOLA VILLA,761449,"MANTENIMIENTO DE VIALIDADES DEL PUERTO DE LÁZARO CÁRDENAS, MICH",16. Licitación Pública Nacional LOPSRM,LO-009J3A002-N1-2015,2015-03-12 00:00:00 GMT,2015-02-11 18:12,2015-03-04 10:00,Nacional,Obra Pública,Licitación Pública,Mixta,714209,"MANTENIMIENTO DE VIALIDADES DEL PUERTO DE LÁZARO CÁRDENAS, MICH.",2015-03-30,2015-12-07,6964555.41,MXN,Activo,No,,,,2015-03-25 00:00:00 GMT,0,0,0,307-A.-4797 ,No MIPYME,"SERVICIOS ESPECIALES Y EQUIPOS PARA CONSERVACION DE CARRETERAS, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=514286
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,780102,Servicio de Seguridad y Protección de las Instalaciones de API.,01. Licitación Pública Nacional LAASSP,LA-009J3B001-N22-2015,2015-04-13 00:00:00 GMT,2015-03-25 16:27,2015-04-08 10:00,Nacional,Servicios,Licitación Pública,Electrónica,724784,Servicio de Seguridad y Protección de las Instalaciones de API.,2015-05-15,2016-05-31,26927982.92,MXN,Activo,No,,,,2015-05-16 00:00:00 GMT,0,0,0,,Mediana,SERVISEG S.A. DE C.V.,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=534134
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,799630,SERVICIO DE SOPORTE TECNICO A SISTEMAS Y USUARIOS ,04. Invitación a cuando menos tres Nacional LAASSP,IA-009J3B001-N35-2015,2015-05-08 00:00:00 GMT,2015-04-21 09:56,2015-05-05 10:00,Nacional,Servicios,Invitación a Cuando Menos 3 Personas,Mixta,739496,SERVICIO DE SOPORTE TECNICO A SISTEMAS Y USUARIOS ,2015-05-15,2016-05-14,1153422.72,MXN,Activo,No,,,,2015-05-15 00:00:00 GMT,0,0,1,,Micro,SERVICIO Y SOLUCION EN SISTEMAS INFORMATICOS DE MANZANILLO S.C.,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=544681
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B002,"API-Manzanillo-Administración Portuaria Manzanillo, S.A. de C.V.",Julio Cesar Huerta Flores,801106,Construcción de barda perimetral en zona Naval.,19. Invitación a cuando menos tres Nacional LOPSRM,IO-009J3B002-N5-2015,2015-05-05 00:00:00 GMT,2015-04-17 15:13,2015-04-28 09:00,Nacional,Obra Pública,Invitación a Cuando Menos 3 Personas,Electrónica,739545,"Construcción de barda perimetral en zona Naval de la Zona Norte en el Puerto Interior de San Pedrito, Manzanillo, Col.",2015-05-12,2015-07-10,1898520,MXN,Activo,No,,,,2015-05-11 00:00:00 GMT,0,0,0,"0809J3B0001

",Mediana,INGENIERIA Y CONSTRUCCION DE OBRA CIVIL Y ELECTRICA SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=545431
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,812515,TALLER DE INVESTIGACIÓN DE MERCADO Y DE INVESTIGACIÓN CUALITATIVA ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3B001-N47-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,737641,TALLER DE INVESTIGACIÓN DE MERCADO Y DE INVESTIGACIÓN CUALITATIVA,2015-05-08,2015-05-15,276000,MXN,Activo,No,,,,,0,0,0,,Micro,GRUPO EMPRESARIAL D.A.F.A. SA DE CV,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=552790
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,812469,"LEY DE ADQUISICIONES, ARRENDAMIENTO Y SERVICIOS DEL SECTOR PUBLICOI",12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3B001-N46-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,737557,"LEY DE ADQUISICIONES, ARRENDAMIENTO Y SERVICIOS DEL SECTOR PUBLICO",2015-05-07,2015-05-15,230000,MXN,Activo,No,,,,,0,0,0,,Mediana,LURMA INTEGRAL S DE RL DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=552764
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,812246,ASESORIA PARA ELABORAR SEGUNDO INFORME DE ADHESION AL PACTO GLOBAL DE LAS NACION,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3B001-N45-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,737348, ASESORIA PARA ELABORAR SEGUNDO INFORME DE ADHESION AL PACTO GLOBAL DE LAS NACION,2015-05-03,2015-05-28,45000,MXN,Activo,No,,,,2015-05-04 00:00:00 GMT,0,0,0,,Mediana,INES MARGARITA GUARDIA ROLANDO,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=552618
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B002,"API-Manzanillo-Administración Portuaria Manzanillo, S.A. de C.V.",Julio Cesar Huerta Flores,792079,Servicio de Buceo,22. Adjudicación Directa Nacional Art. 43 LOPSRM,AO-009J3B002-N3-2015,,2015-03-31 23:05,2015-04-13 14:30,Nacional,Servicios Relacionados con la OP,Adjudicación Directa Federal,Electrónica,735807,"Servicio de buceo y lanchaje para mantenimiento, reparación del señalamiento marítimo, búsqueda, rastreo y rescate para la APIMAN en el puerto interior de San Pedrito en Manzanillo, Col.",2015-04-27,2015-09-23,307321.5,MXN,Activo,No,,,,2015-04-27 00:00:00 GMT,0,0,0,MANTENIMIENTO,Micro,JOSE MARIA CASTELLON DIAZ,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=545439
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,810285,TALLER EQUILIBRIO TRABAJO FAMILIA ,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3B001-N44-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,735438,TALLER EQUILIBRIO TRABAJO FAMILIA ,2015-04-27,2015-05-07,25500,MXN,Expirado,No,,,,,0,0,0,,Micro,GRAND MARLIN HOTELS SA DE CV,Mediana,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=551136
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B001,API-Manzanillo-Api Manzanillo,Rogelio Valencia Sánchez,805457,DIPLOMADO EN CIENCIAS DE ADMÓN. DE EMPRESAS NAVIERAS Y PORTUARIAS,12. Adjudicación Directa Nacional Simplificada LAASSP,SA-009J3B001-N42-2015,,,,Nacional,Servicios,Adjudicación Directa Federal,,728526,DIPLOMADO EN CIENCIAS DE ADMÓN. DE EMPRESAS NAVIERAS Y PORTUARIAS,2015-04-26,2015-09-28,25257.75,MXN,Activo,No,,,,2015-04-27 00:00:00 GMT,0,0,0,,Mediana,FIDENA,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=547174
APF,API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",009J3B002,"API-Manzanillo-Administración Portuaria Manzanillo, S.A. de C.V.",Julio Cesar Huerta Flores,791890,Desazove de Drenes,19. Invitación a cuando menos tres Nacional LOPSRM,IO-009J3B002-N2-2015,2015-04-20 00:00:00 GMT,2015-03-31 18:00,2015-04-13 10:30,Nacional,Obra Pública,Invitación a Cuando Menos 3 Personas,Electrónica,730814,"Desazolve de Drenes y Sub-drenes pluviales, principal Jalipa, secundarios y auxiliares, pertenecientes a la Administración Portuaria Integral de Manzanillo, Col. ",2015-04-24,2015-07-07,2491354.57,MXN,Activo,No,,,,2015-04-24 00:00:00 GMT,0,0,0,MANTANIMIENTO,No MIPYME,ROKARJ CONSTRUCCIONES SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537094
